Participant,roi_sequence,experience
19.0,"4,4,4,4,7,4,4,16,16,7",ThirdYear
19.0,"5,8,12,13,5,7,7,8,7,5",ThirdYear
19.0,"5,5,5,7,2,11,11,11,11,11",ThirdYear
19.0,"11,11,1,2,1,2,13,7,8,19",ThirdYear
19.0,"18,13,13,2,7,13,7,7,14,14",ThirdYear
19.0,"7,6,14,13,7,19,13,13,5,13",ThirdYear
19.0,"13,13,5,5,7,5,5,13,5,5",ThirdYear
19.0,"5,13,13,13,13,5,9,15,19,9",ThirdYear
19.0,"15,15,19,19,18,4,4,5,5,7",ThirdYear
19.0,"19,2,2,2,11,2,11,11,2,1",ThirdYear
19.0,"1,1,5,13,12,14,2,4,7,4",ThirdYear
19.0,"5,9,7,7,1,9,16,16,13,13",ThirdYear
19.0,"11,2,2,2,10,11,2,2,2,2",ThirdYear
20.0,"19,9,9,0,9,8,0,0,0,0",FirstYear
20.0,"0,0,0,0,0,9,0,0,0,0",FirstYear
20.0,"0,0,8,7,0,0,7,8,8,9",FirstYear
20.0,"7,8,9,8,0,9,7,7,0,2",FirstYear
20.0,"7,0,9,9,9,9,9,9,8,9",FirstYear
20.0,"8,9,9,8,9,19,9,9,9,9",FirstYear
20.0,"9,8,8,8,0,17,17,17,10,9",FirstYear
20.0,"15,15,17,15,17,17,20,19,0,19",FirstYear
20.0,"9,9,9,9,8,8,8,2,2,2",FirstYear
20.0,"2,0,7,2,2,2,2,0,15,13",FirstYear
20.0,"0,0,0,9,8,9,9,9,0,12",FirstYear
20.0,"29,12,12,12,15,5,0,2,2,9",FirstYear
20.0,"9,0,8,0,2,6,5,2,4,4",FirstYear
20.0,"4,8,3,2,5,6,5,2,6,2",FirstYear
20.0,"0,11,10,14,10,0,19,12,11,11",FirstYear
20.0,"10,11,14,15,15,15,15,19,19,18",FirstYear
20.0,"19,19,19,20,21,13,20,12,12,12",FirstYear
20.0,"12,12,12,12,12,12,12,12,12,12",FirstYear
20.0,"12,12,12,12,12,12,12,12,12,12",FirstYear
20.0,"12,12,12,12,12,12,13,0,12,12",FirstYear
20.0,"12,12,12,12,28,26,12,12,23,2",FirstYear
20.0,"22,2,22,2,23,22,28,30,28,24",FirstYear
20.0,"25,30,31,32,32,30,26,25,25,24",FirstYear
20.0,"8,17,8,3,3,0,1,1,1,1",FirstYear
20.0,"1,1,1,3,3,3,17,1,4,2",FirstYear
20.0,"2,8,4,4,8,24,4,2,2,2",FirstYear
20.0,"3,3,3,2,4,5,4,8,4,0",FirstYear
20.0,"4,4,3,3,3,3,3,2,2,3",FirstYear
20.0,"3,3,0,2,2,3,1,3,11,14",FirstYear
20.0,"0,16,16,16,17,16,16,17,19,19",FirstYear
20.0,"19,19,19,19,19,19,19,19,19,19",FirstYear
20.0,"19,19,19,14,11,19,11,11,12,11",FirstYear
20.0,"14,11,21,10,9,10,9,4,3,2",FirstYear
20.0,"3,3,3,3,2,5,2,3,3,3",FirstYear
20.0,"3,3,3,3,3,3,4,2,14,12",FirstYear
20.0,"14,11,5,5,8,3,3,1,3,9",FirstYear
20.0,"0,5,5,5,8,9,12,11,9,12",FirstYear
20.0,"5,7,5,8,10,7,7,7,7,9",FirstYear
20.0,"15,13,7,15,13,14,14,14,9,14",FirstYear
20.0,"15,13,13,13,15,14,14,14,14,10",FirstYear
20.0,"10,9,12,12,12,12,12,12,11,5",FirstYear
20.0,"5,12,12,4,16,16,17,17,17,16",FirstYear
20.0,"17,17,16,16,16,16,13,5,16,16",FirstYear
20.0,"11,8,15,10,10,7,7,13,13,4",FirstYear
20.0,"14,3,3,3,17,3,15,13,0,8",FirstYear
20.0,"3,3,6,3,6,6,6,6,6,6",FirstYear
20.0,"6,6,6,6,0,9,13,9,8,8",FirstYear
20.0,"15,15,15,16,0,8,0,13,14,13",FirstYear
20.0,"13,11,14,13,18,2,20,19,19,1",FirstYear
20.0,"1,19,19,19,19,19,2,1,0,4",FirstYear
20.0,"1,3,3,1,1,1,1,2,2,2",FirstYear
20.0,"18,18,18,9,3,3,6,7,13,5",FirstYear
20.0,"5,8,7,8,11,11,11,11,11,11",FirstYear
20.0,"11,11,13,13,13,13,13,12,13,12",FirstYear
20.0,"13,12,5,6,9,12,13,5,15,0",FirstYear
20.0,"13,13,9,5,7,4,7,16,19,16",FirstYear
20.0,"15,9,15,15,15,2,2,1,13,18",FirstYear
20.0,"5,5,8,5,5,5,5,7,5,1",FirstYear
20.0,"1,2,3,2,1,2,2,2,2,10",FirstYear
20.0,"10,7,10,8,10,10,10,9,15,15",FirstYear
21.0,"19,9,9,0,0,0,8,9,8,8",ThirdYear
21.0,"7,7,18,0,19,9,0,19,21,13",ThirdYear
21.0,"13,12,13,13,13,21,17,17,19,0",ThirdYear
21.0,"9,0,0,2,2,2,5,5,0,9",ThirdYear
21.0,"9,8,9,9,9,9,9,0,11,0",ThirdYear
21.0,"9,9,8,8,9,0,9,9,0,0",ThirdYear
21.0,"0,9,0,30,9,9,9,9,9,9",ThirdYear
21.0,"9,9,19,19,9,0,19,9,9,0",ThirdYear
21.0,"0,19,12,9,9,19,9,0,0,8",ThirdYear
21.0,"8,8,11,7,7,7,5,5,5,7",ThirdYear
21.0,"0,8,0,0,0,0,0,0,0,0",ThirdYear
21.0,"0,9,0,0,8,8,9,9,9,0",ThirdYear
21.0,"8,9,9,9,9,9,23,0,19,0",ThirdYear
21.0,"29,29,0,12,12,17,0,17,9,0",ThirdYear
21.0,"9,9,9,9,9,9,9,9,9,9",ThirdYear
21.0,"8,8,11,15,15,15,15,17,15,15",ThirdYear
21.0,"13,11,7,2,0,0,8,8,8,9",ThirdYear
21.0,"0,9,9,9,9,19,0,0,0,0",ThirdYear
21.0,"0,8,8,8,7,7,7,6,5,5",ThirdYear
21.0,"8,9,9,30,9,9,9,8,14,15",ThirdYear
21.0,"0,15,18,0,0,10,19,18,18,20",ThirdYear
21.0,"20,21,0,15,11,6,6,4,4,4",ThirdYear
21.0,"4,4,0,2,5,2,1,1,3,1",ThirdYear
21.0,"8,3,3,17,17,30,0,29,26,4",ThirdYear
21.0,"4,4,4,6,12,12,12,12,0,11",ThirdYear
21.0,"12,12,12,11,15,15,15,15,14,14",ThirdYear
21.0,"16,0,20,0,12,23,33,33,22,23",ThirdYear
21.0,"24,0,0,0,0,0,24,24,4,8",ThirdYear
21.0,"17,24,24,30,26,29,29,25,25,25",ThirdYear
21.0,"25,8,8,1,1,1,8,12,12,12",ThirdYear
21.0,"11,11,2,0,16,15,10,15,0,16",ThirdYear
21.0,"18,16,14,0,18,21,0,0,19,19",ThirdYear
21.0,"10,10,11,0,19,0,20,20,10,10",ThirdYear
21.0,"11,0,18,18,21,21,19,0,0,20",ThirdYear
21.0,"20,19,18,16,6,4,9,8,8,4",ThirdYear
21.0,"2,6,2,5,2,2,2,2,2,2",ThirdYear
21.0,"2,2,0,2,4,10,2,2,2,2",ThirdYear
21.0,"4,2,2,1,1,8,8,2,10,2",ThirdYear
21.0,"2,2,2,2,12,11,0,0,12,11",ThirdYear
21.0,"10,0,15,15,19,19,18,24,24,23",ThirdYear
21.0,"33,2,2,12,5,6,4,4,4,4",ThirdYear
21.0,"2,19,24,24,9,8,8,8,15,10",ThirdYear
21.0,"15,20,19,19,15,11,4,4,2,8",ThirdYear
21.0,"8,3,1,1,17,26,25,25,8,4",ThirdYear
21.0,"2,2,3,3,3,3,3,3,3,3",ThirdYear
21.0,"3,3,11,19,19,19,19,19,11,0",ThirdYear
21.0,"4,8,4,4,2,5,3,3,3,3",ThirdYear
21.0,"3,1,1,1,9,21,9,9,10,2",ThirdYear
21.0,"2,3,2,2,3,11,13,12,11,3",ThirdYear
21.0,"3,3,3,3,3,3,3,3,3,3",ThirdYear
21.0,"3,3,3,6,2,2,3,6,8,4",ThirdYear
21.0,"4,4,4,5,5,3,3,4,4,1",ThirdYear
21.0,"1,1,1,12,1,12,13,16,11,11",ThirdYear
21.0,"11,11,12,15,1,1,1,1,1,1",ThirdYear
21.0,"1,1,19,19,11,11,9,10,21,9",ThirdYear
21.0,"9,9,10,11,11,11,11,11,13,11",ThirdYear
21.0,"11,15,11,11,16,19,19,11,12,1",ThirdYear
21.0,"1,1,21,21,9,9,4,4,5,4",ThirdYear
21.0,"4,4,5,4,5,2,2,3,2,2",ThirdYear
21.0,"6,3,3,0,1,2,10,0,12,3",ThirdYear
21.0,"3,3,2,1,1,1,1,1,1,12",ThirdYear
21.0,"12,1,1,15,13,11,4,11,11,0",ThirdYear
21.0,"11,19,11,11,11,11,16,16,16,12",ThirdYear
21.0,"7,3,3,3,3,3,3,3,3,4",ThirdYear
21.0,"4,2,5,5,3,3,3,3,3,3",ThirdYear
21.0,"3,3,3,3,3,2,3,5,2,3",ThirdYear
21.0,"2,3,3,3,4,4,9,9,11,11",ThirdYear
21.0,"15,1,6,2,3,3,11,11,4,11",ThirdYear
21.0,"11,11,18,11,10,9,2,3,5,3",ThirdYear
21.0,"3,15,13,10,7,5,5,12,12,17",ThirdYear
21.0,"17,17,17,16,16,16,13,13,11,11",ThirdYear
21.0,"11,11,12,11,9,5,5,5,5,8",ThirdYear
21.0,"8,5,5,5,7,7,10,10,7,7",ThirdYear
21.0,"7,10,10,7,7,15,15,15,15,15",ThirdYear
21.0,"15,15,7,7,13,13,13,11,12,12",ThirdYear
21.0,"5,6,4,9,15,9,9,9,9,9",ThirdYear
21.0,"9,9,9,9,9,9,9,9,9,9",ThirdYear
21.0,"9,15,15,17,17,16,14,14,14,14",ThirdYear
21.0,"14,6,5,5,13,13,14,14,17,16",ThirdYear
21.0,"16,9,12,5,5,5,5,5,7,7",ThirdYear
21.0,"9,9,0,0,9,1,9,15,10,10",ThirdYear
21.0,"9,9,9,17,16,9,5,5,10,9",ThirdYear
21.0,"9,9,9,9,10,10,7,9,15,10",ThirdYear
21.0,"7,9,7,5,14,14,14,17,9,9",ThirdYear
21.0,"9,3,2,3,17,9,19,19,18,18",ThirdYear
21.0,"5,1,2,5,2,2,11,15,8,8",ThirdYear
21.0,"15,13,12,13,3,17,3,3,6,3",ThirdYear
21.0,"3,3,3,6,3,6,6,3,6,6",ThirdYear
21.0,"3,3,3,2,19,19,18,15,8,0",ThirdYear
21.0,"8,0,15,8,0,11,14,11,11,13",ThirdYear
21.0,"13,14,11,8,11,11,8,9,9,15",ThirdYear
21.0,"15,15,15,8,13,2,18,2,2,2",ThirdYear
21.0,"2,1,3,3,3,3,3,3,3,6",ThirdYear
21.0,"3,3,3,3,0,6,3,3,9,3",ThirdYear
21.0,"9,13,8,13,13,8,7,8,15,19",ThirdYear
21.0,"16,16,19,19,19,16,7,16,16,19",ThirdYear
21.0,"15,9,6,4,4,5,5,5,13,13",ThirdYear
21.0,"13,12,12,5,6,5,8,13,13,11",ThirdYear
21.0,"11,11,2,1,2,10,2,5,8,9",ThirdYear
21.0,"15,9,15,15,5,5,4,2,4,7",ThirdYear
21.0,"8,7,5,5,7,0,15,15,2,2",ThirdYear
23.0,"19,15,17,9,9,8,9,7,11,12",FirstYear
23.0,"0,12,13,13,19,7,0,12,8,18",FirstYear
23.0,"8,8,8,9,9,0,9,9,9,8",FirstYear
23.0,"8,8,0,7,2,0,0,2,12,13",FirstYear
23.0,"13,15,13,0,0,23,7,7,7,6",FirstYear
23.0,"9,9,8,8,8,8,9,8,9,8",FirstYear
23.0,"9,9,8,9,9,9,8,8,8,9",FirstYear
23.0,"9,17,13,13,0,27,17,20,9,9",FirstYear
23.0,"29,9,9,0,9,9,9,9,0,9",FirstYear
23.0,"9,9,9,9,9,9,9,11,7,2",FirstYear
23.0,"0,7,5,2,2,0,0,2,2,1",FirstYear
23.0,"1,17,13,21,14,14,14,13,14,17",FirstYear
23.0,"17,14,4,5,14,13,13,13,27,14",FirstYear
23.0,"14,17,14,19,0,7,9,7,7,5",FirstYear
23.0,"5,5,13,27,27,27,27,28,28,29",FirstYear
23.0,"29,29,0,9,0,12,12,17,2,3",FirstYear
23.0,"4,4,6,4,4,0,4,0,0,0",FirstYear
23.0,"0,12,15,0,0,0,0,20,22,22",FirstYear
23.0,"0,10,29,26,24,2,2,2,24,20",FirstYear
23.0,"0,0,8,8,2,4,3,3,1,1",FirstYear
23.0,"1,1,1,1,1,3,3,8,3,2",FirstYear
23.0,"2,8,8,9,4,4,2,3,4,12",FirstYear
23.0,"0,12,12,12,0,13,24,29,30,26",FirstYear
23.0,"25,25,25,25,25,25,8,8,24,25",FirstYear
23.0,"25,25,30,30,24,24,23,0,22,2",FirstYear
23.0,"0,0,15,10,12,12,12,23,24,23",FirstYear
23.0,"23,0,4,8,8,8,8,8,24,29",FirstYear
23.0,"29,0,30,30,0,0,12,12,10,15",FirstYear
23.0,"15,0,0,25,25,25,25,8,8,8",FirstYear
23.0,"1,1,4,0,1,3,3,8,4,0",FirstYear
23.0,"3,3,3,3,3,3,3,6,1,19",FirstYear
23.0,"4,4,4,4,4,4,3,3,3,3",FirstYear
23.0,"3,4,4,13,1,1,15,15,13,13",FirstYear
23.0,"15,21,10,10,10,9,3,6,3,1",FirstYear
23.0,"1,1,1,1,1,1,1,1,1,1",FirstYear
23.0,"1,1,1,1,1,1,3,3,2,3",FirstYear
23.0,"3,3,9,4,4,4,4,0,4,4",FirstYear
23.0,"5,5,4,5,5,3,3,2,3,3",FirstYear
23.0,"3,3,3,3,3,2,3,3,3,3",FirstYear
23.0,"21,11,10,11,9,9,2,3,2,3",FirstYear
23.0,"2,16,1,1,1,1,1,21,4,4",FirstYear
23.0,"7,1,14,1,1,9,13,5,10,10",FirstYear
23.0,"15,14,16,16,16,12,12,11,4,5",FirstYear
23.0,"5,5,5,5,5,4,4,4,4,17",FirstYear
23.0,"17,17,17,17,17,17,15,9,10,7",FirstYear
23.0,"9,9,13,13,0,0,4,5,6,5",FirstYear
23.0,"5,5,6,4,4,5,4,5,8,12",FirstYear
23.0,"4,4,12,12,9,9,9,7,17,20",FirstYear
23.0,"9,17,9,10,7,5,5,8,7,9",FirstYear
23.0,"9,9,7,7,15,9,9,15,15,7",FirstYear
23.0,"7,7,7,7,9,9,15,15,0,14",FirstYear
23.0,"4,13,13,14,14,9,9,9,16,17",FirstYear
23.0,"17,9,9,9,9,9,20,4,4,4",FirstYear
23.0,"4,6,4,3,14,3,3,6,6,6",FirstYear
23.0,"6,3,2,2,13,2,2,8,8,6",FirstYear
23.0,"6,3,6,3,9,19,19,19,19,1",FirstYear
23.0,"1,3,3,2,2,2,2,18,2,2",FirstYear
23.0,"2,2,2,2,13,10,3,6,6,3",FirstYear
23.0,"8,15,0,9,9,0,13,8,8,13",FirstYear
23.0,"13,13,19,19,18,2,2,13,13,0",FirstYear
23.0,"2,10,13,8,11,14,13,3,1,1",FirstYear
23.0,"1,1,1,1,1,5,2,2,2,2",FirstYear
23.0,"2,19,19,9,13,12,12,7,5,8",FirstYear
23.0,"15,15,7,8,8,2,2,10,5,8",FirstYear
23.0,"2,7,2,10,11,11,11,2,2,4",FirstYear
23.0,"4,13,18,18,13,7,7,10,10,10",FirstYear
23.0,"10,2,2,10,5,15,9,16,19,19",FirstYear
23.0,"2,2,2,2,2,2,2,2,2,10",FirstYear
23.0,"0,2,4,4,4,4,4,15,16,15",FirstYear
23.0,"18,19,19,19,18,13,18,15,15,9",FirstYear
23.0,"17,15,9,9,15,15,5,6,12,13",FirstYear
23.0,"13,15,9,15,15,15,15,15,15,15",FirstYear
23.0,"15,16,2,4,1,2,2,2,2,1",FirstYear
23.0,"1,4,5,2,4,15,15,15,9,7",FirstYear
23.0,"4,2,4,4,4,9,9,15,15,15",FirstYear
24.0,"0,9,8,0,0,9,8,9,0,0",FirstYear
24.0,"8,8,8,8,8,0,9,9,9,9",FirstYear
24.0,"9,9,9,9,9,0,9,9,18,9",FirstYear
24.0,"19,18,17,17,2,2,2,8,8,2",FirstYear
24.0,"2,2,0,8,0,0,0,0,9,0",FirstYear
24.0,"0,0,0,0,9,0,0,9,0,0",FirstYear
24.0,"9,9,0,8,8,8,8,9,8,8",FirstYear
24.0,"8,8,8,8,8,2,9,0,9,8",FirstYear
24.0,"8,9,19,9,0,0,9,9,9,9",FirstYear
24.0,"9,0,9,9,9,9,8,9,0,8",FirstYear
24.0,"8,9,9,9,9,9,9,9,19,9",FirstYear
24.0,"9,9,9,31,9,9,9,2,2,12",FirstYear
24.0,"0,19,17,17,0,18,2,0,0,2",FirstYear
24.0,"2,2,2,2,2,2,2,8,8,2",FirstYear
24.0,"8,8,0,0,12,15,17,0,0,17",FirstYear
24.0,"21,9,0,9,9,8,8,0,8,9",FirstYear
24.0,"9,8,8,8,8,9,9,9,8,8",FirstYear
24.0,"8,0,8,8,0,2,0,0,0,0",FirstYear
24.0,"2,2,2,8,9,9,0,2,2,0",FirstYear
24.0,"0,9,9,9,9,0,9,9,0,0",FirstYear
24.0,"0,0,0,0,8,0,9,8,8,8",FirstYear
24.0,"8,8,9,0,0,0,0,9,0,9",FirstYear
24.0,"0,0,0,9,9,8,0,0,9,9",FirstYear
24.0,"9,9,9,9,0,0,19,17,18,9",FirstYear
24.0,"9,0,9,9,0,9,9,0,9,9",FirstYear
24.0,"9,9,9,9,9,9,9,9,9,12",FirstYear
24.0,"9,9,2,8,8,8,8,8,8,8",FirstYear
24.0,"8,8,9,8,9,8,8,8,8,9",FirstYear
24.0,"9,9,9,8,8,9,0,9,0,9",FirstYear
24.0,"9,19,9,9,31,9,0,0,0,0",FirstYear
24.0,"8,0,0,0,8,0,2,2,2,2",FirstYear
24.0,"6,4,4,15,14,15,15,12,2,2",FirstYear
24.0,"2,2,2,2,2,2,2,2,2,2",FirstYear
24.0,"2,2,2,2,2,2,2,2,6,2",FirstYear
24.0,"4,6,2,2,2,4,2,2,6,2",FirstYear
24.0,"2,2,2,2,2,2,6,6,2,6",FirstYear
24.0,"6,6,6,6,4,6,2,6,4,4",FirstYear
24.0,"4,8,8,2,2,2,2,4,0,2",FirstYear
24.0,"2,2,2,2,2,2,2,2,2,2",FirstYear
24.0,"2,2,2,1,1,2,2,2,2,1",FirstYear
24.0,"3,1,2,3,3,1,1,3,24,3",FirstYear
24.0,"3,0,1,2,2,2,12,2,2,8",FirstYear
24.0,"4,2,2,12,12,11,12,11,2,0",FirstYear
24.0,"0,10,16,16,16,14,10,10,11,14",FirstYear
24.0,"14,14,0,14,0,16,18,18,18,18",FirstYear
24.0,"18,21,20,15,15,12,12,12,0,2",FirstYear
24.0,"12,12,12,12,12,12,13,12,12,12",FirstYear
24.0,"12,12,2,23,23,23,23,33,23,24",FirstYear
24.0,"24,24,17,31,28,28,30,26,25,25",FirstYear
24.0,"28,28,25,25,25,25,24,17,25,25",FirstYear
24.0,"25,25,25,24,17,9,9,2,2,8",FirstYear
24.0,"8,8,8,8,8,8,24,17,8,2",FirstYear
24.0,"2,2,12,2,2,2,2,2,2,2",FirstYear
24.0,"2,2,12,4,2,2,22,0,2,0",FirstYear
24.0,"22,2,2,23,21,2,0,22,22,24",FirstYear
24.0,"24,23,32,30,32,29,29,28,24,28",FirstYear
24.0,"0,24,24,24,0,0,18,24,24,2",FirstYear
24.0,"33,24,2,8,8,8,25,25,25,25",FirstYear
24.0,"8,8,3,1,3,2,9,8,8,8",FirstYear
24.0,"17,3,3,3,3,3,8,8,3,3",FirstYear
24.0,"2,1,1,3,3,1,2,3,4,4",FirstYear
24.0,"2,3,3,3,3,3,3,3,2,4",FirstYear
24.0,"3,4,3,3,3,3,3,3,3,3",FirstYear
24.0,"3,3,3,3,3,3,3,3,3,3",FirstYear
24.0,"3,3,3,3,3,3,3,2,2,3",FirstYear
24.0,"2,14,3,3,4,4,4,3,11,11",FirstYear
24.0,"11,11,14,11,11,13,12,11,16,15",FirstYear
24.0,"1,19,15,1,14,13,12,10,11,14",FirstYear
24.0,"9,9,9,9,9,10,9,10,10,10",FirstYear
24.0,"21,2,2,4,4,3,4,4,4,2",FirstYear
24.0,"2,1,1,1,1,15,1,1,20,1",FirstYear
24.0,"16,0,11,11,11,2,5,11,11,11",FirstYear
24.0,"11,11,11,21,11,5,5,11,11,11",FirstYear
24.0,"11,11,11,11,11,11,11,11,11,11",FirstYear
24.0,"11,19,11,14,14,11,11,14,14,14",FirstYear
24.0,"11,2,2,0,3,3,0,4,3,3",FirstYear
24.0,"2,2,2,3,3,3,2,3,3,3",FirstYear
24.0,"2,3,3,3,3,3,3,3,3,3",FirstYear
24.0,"3,3,3,3,3,3,3,3,3,3",FirstYear
24.0,"3,3,3,9,10,4,4,4,4,4",FirstYear
24.0,"4,4,4,4,4,4,4,5,4,4",FirstYear
24.0,"2,2,2,7,3,3,2,6,6,3",FirstYear
24.0,"2,2,3,3,2,1,1,1,1,11",FirstYear
24.0,"11,11,1,21,19,19,19,17,15,12",FirstYear
24.0,"9,9,9,8,9,9,9,9,4,4",FirstYear
24.0,"4,5,2,1,1,1,1,4,4,15",FirstYear
24.0,"9,10,9,7,5,13,12,14,9,3",FirstYear
24.0,"3,15,9,16,0,14,14,15,13,9",FirstYear
24.0,"9,7,9,13,9,13,13,0,14,14",FirstYear
24.0,"14,14,13,9,0,12,12,11,12,12",FirstYear
24.0,"9,9,12,5,12,8,5,16,16,16",FirstYear
24.0,"17,5,5,5,8,5,5,5,5,5",FirstYear
24.0,"5,5,5,5,5,7,7,5,5,5",FirstYear
24.0,"5,8,5,8,7,5,5,9,8,8",FirstYear
24.0,"9,9,17,17,9,17,9,17,9,9",FirstYear
24.0,"9,9,9,9,9,9,9,9,9,9",FirstYear
24.0,"9,20,20,20,20,17,21,21,21,21",FirstYear
24.0,"9,9,9,9,17,9,9,16,16,16",FirstYear
24.0,"9,9,9,9,14,14,13,9,9,9",FirstYear
24.0,"9,9,0,3,3,9,9,9,9,9",FirstYear
24.0,"9,9,0,7,10,10,10,7,7,2",FirstYear
24.0,"1,1,7,13,15,9,9,13,1,5",FirstYear
24.0,"9,1,1,2,2,3,3,2,9,9",FirstYear
24.0,"9,9,17,20,20,4,16,9,14,4",FirstYear
24.0,"4,4,18,4,4,14,18,21,21,9",FirstYear
24.0,"9,9,3,19,2,3,6,6,3,6",FirstYear
24.0,"6,6,9,3,3,3,6,6,6,6",FirstYear
24.0,"6,3,6,6,6,6,6,3,6,6",FirstYear
24.0,"6,3,6,6,6,6,6,6,6,6",FirstYear
24.0,"6,6,6,6,6,3,3,9,3,3",FirstYear
24.0,"9,9,9,9,9,2,9,9,9,8",FirstYear
24.0,"9,9,0,15,9,15,18,15,15,9",FirstYear
24.0,"9,9,1,1,9,9,1,19,19,19",FirstYear
24.0,"19,18,19,19,19,19,19,9,15,13",FirstYear
24.0,"0,8,14,8,11,13,12,13,11,14",FirstYear
24.0,"14,11,14,14,11,11,0,8,9,3",FirstYear
24.0,"3,3,19,0,3,3,3,3,3,3",FirstYear
24.0,"3,3,3,1,1,1,1,13,19,19",FirstYear
24.0,"19,18,18,18,19,18,18,19,2,3",FirstYear
24.0,"3,9,9,3,3,3,3,3,1,1",FirstYear
24.0,"1,1,1,2,19,19,19,3,15,8",FirstYear
24.0,"13,7,13,5,9,7,7,9,4,4",FirstYear
24.0,"7,4,4,4,5,5,5,7,13,15",FirstYear
24.0,"5,7,0,2,5,15,15,16,5,7",FirstYear
24.0,"7,8,7,2,10,10,11,10,10,10",FirstYear
24.0,"2,2,2,2,11,11,2,7,7,16",FirstYear
24.0,"15,13,7,2,8,2,2,1,4,5",FirstYear
24.0,"16,11,11,11,11,11,2,7,7,16",FirstYear
24.0,"19,18,13,14,0,0,13,13,13,13",FirstYear
24.0,"7,13,12,13,13,5,5,6,5,5",FirstYear
24.0,"9,9,16,15,9,9,9,0,15,15",FirstYear
24.0,"15,18,19,15,15,13,7,13,13,5",FirstYear
24.0,"6,15,15,5,5,15,15,15,19,16",FirstYear
24.0,"16,16,16,19,15,19,19,15,15,15",FirstYear
24.0,"15,15,5,5,5,5,5,5,13,5",FirstYear
24.0,"2,2,1,2,2,2,2,2,10,2",FirstYear
24.0,"2,2,10,2,2,2,2,2,2,2",FirstYear
24.0,"2,2,10,10,2,2,2,2,2,10",FirstYear
24.0,"10,2,11,11,11,2,2,11,7,7",FirstYear
24.0,"7,2,16,16,7,2,11,11,11,1",FirstYear
24.0,"2,11,11,11,11,1,1,1,1,2",FirstYear
24.0,"15,7,7,7,9,7,7,7,7,5",FirstYear
25.0,"9,9,9,0,0,9,9,2,8,9",ThirdYear
25.0,"0,0,9,8,8,8,9,9,2,2",ThirdYear
25.0,"2,2,18,9,9,9,15,0,0,0",ThirdYear
25.0,"0,8,9,8,8,31,2,9,19,9",ThirdYear
25.0,"9,17,17,17,9,9,17,13,14,12",ThirdYear
25.0,"31,9,8,9,8,8,8,9,9,8",ThirdYear
25.0,"8,8,9,8,8,1,2,2,2,2",ThirdYear
25.0,"2,2,0,0,0,9,2,2,5,2",ThirdYear
25.0,"2,12,12,17,17,0,0,9,9,9",ThirdYear
25.0,"9,19,17,18,19,17,0,19,15,12",ThirdYear
25.0,"13,13,13,27,8,9,9,8,0,4",ThirdYear
25.0,"2,4,4,4,4,2,3,1,1,2",ThirdYear
25.0,"2,2,2,2,12,2,12,12,12,12",ThirdYear
25.0,"12,13,12,0,0,15,15,15,15,0",ThirdYear
25.0,"0,14,10,0,11,0,10,2,8,4",ThirdYear
25.0,"8,8,8,0,29,25,29,26,25,25",ThirdYear
25.0,"30,29,23,2,2,2,2,22,12,12",ThirdYear
25.0,"0,12,0,12,12,12,12,12,12,12",ThirdYear
25.0,"12,12,12,12,0,15,15,0,0,19",ThirdYear
25.0,"19,12,11,11,0,11,2,2,2,11",ThirdYear
25.0,"2,2,2,4,2,3,3,3,1,8",ThirdYear
25.0,"8,25,23,2,23,0,0,4,2,3",ThirdYear
25.0,"3,3,3,3,3,4,4,3,2,3",ThirdYear
25.0,"3,5,4,4,13,1,0,13,15,1",ThirdYear
25.0,"12,1,19,19,19,19,18,11,15,1",ThirdYear
25.0,"1,1,1,2,9,9,21,4,3,9",ThirdYear
25.0,"9,3,9,9,9,4,4,5,5,5",ThirdYear
25.0,"5,3,1,1,2,3,3,2,2,3",ThirdYear
25.0,"3,2,3,3,3,3,3,3,3,1",ThirdYear
25.0,"1,3,6,6,1,1,1,13,11,11",ThirdYear
25.0,"11,11,13,1,15,12,1,14,14,14",ThirdYear
25.0,"8,16,16,17,17,17,13,14,12,17",ThirdYear
25.0,"17,17,12,12,9,9,5,5,5,5",ThirdYear
25.0,"5,5,4,4,7,15,10,15,13,14",ThirdYear
25.0,"0,14,21,21,9,9,9,7,5,4",ThirdYear
25.0,"4,4,5,4,4,1,1,2,0,1",ThirdYear
25.0,"4,9,9,9,10,10,9,11,12,9",ThirdYear
25.0,"14,16,16,16,16,12,12,16,16,16",ThirdYear
25.0,"14,16,12,12,5,5,8,17,17,9",ThirdYear
25.0,"9,9,9,9,9,9,9,9,9,9",ThirdYear
25.0,"9,9,9,9,9,9,9,9,9,9",ThirdYear
25.0,"16,4,4,9,9,9,8,2,3,3",ThirdYear
25.0,"3,6,3,6,3,3,6,6,6,3",ThirdYear
25.0,"3,3,3,3,3,3,3,3,3,3",ThirdYear
25.0,"19,3,19,19,19,19,18,18,2,5",ThirdYear
25.0,"2,2,2,7,9,15,10,2,13,2",ThirdYear
25.0,"13,0,13,8,15,8,2,2,2,3",ThirdYear
25.0,"3,3,3,11,9,0,9,12,13,3",ThirdYear
25.0,"1,1,19,19,19,3,3,3,13,5",ThirdYear
25.0,"5,13,5,9,5,5,16,7,16,19",ThirdYear
25.0,"7,15,5,7,15,16,7,7,4,4",ThirdYear
25.0,"2,11,11,9,5,5,5,15,15,13",ThirdYear
25.0,"13,13,13,13,15,13,7,13,7,7",ThirdYear
25.0,"7,5,0,13,14,13,14,14,15,15",ThirdYear
